,Brand,Model,Screen Size (Inches),Resolution,Display Technology,Key Features,Total Ratings,Total Reviews,Average Rating,Current Price (₹),MRP Price (₹),Operating System,Launch Year,Discount (%)
0,PHILIPS,PHILIPS Frameless,32,HD Ready,LED,Not Specified,951,148,4.1,10499,22999,Google,2025,54.35
1,Coocaa,Coocaa S4U Plus,43,Full HD,LED,Not Specified,25710,2989,4.2,13499,19999,Coolita,2025,32.5
2,realme,realme TechLife CineSonic Q,32,HD Ready,LED,40 W Speak...,8264,648,4.1,8999,23999,Google,2025,62.5
3,iFFALCON,iFFALCON by TCL S55,32,HD Ready,LED,HDR 10 | 16W Dolby ...,2340,173,4.1,8999,19990,Google,2025,54.98
4,Uniboom,Uniboom ULTIMA,43,Full HD,LED,30W Sonic Boom Speakers...,1282,157,4.1,12990,40990,Android,2025,68.31
5,InnoQ,InnoQ Spectra,32,HD Ready,LED,30W Boom Speakers | 1000+ Smart Apps ...,8304,929,4.0,7490,29990,Android,2024,75.03
6,Thomson,Thomson,32,HD Ready,LED,20W Sound Output | 2 Speakers | Wide View An...,30797,4898,4.1,6999,15999,Not Specified,2025,56.25
9,Samsung,Samsung,32,HD Ready,LED,Voice Assistance Remote Control ...,102783,6389,4.3,11990,17900,Tizen,2025,33.02
10,Coocaa,Coocaa S4U Plus,32,HD Ready,LED,Not Specified,25710,2989,4.2,7699,13999,Coolita,2025,45.0
11,Uniboom,Uniboom ULTIMA,32,HD Ready,LED,30W Sonic Boom Speakers...,1282,157,4.1,7590,28990,Android,2025,73.82
12,XIAOMI,XIAOMI by Mi Fire Tv,32,HD Ready,LED,High-Definition Disp...,95910,6457,4.3,11999,24999,Fire OS,2025,52.0
13,TCL,TCL V5C,32,Full HD,LED,100% Color Volume Plus | 24W Do...,1271,135,4.0,13490,22990,Google,2025,41.32
14,iFFALCON,iFFALCON by TCL U65,55,Ultra HD (4K),LED,MEMC | Dolby ...,2203,205,4.2,25999,73990,Google,2025,64.86
16,InnoQ,InnoQ Sounbar,24,HD Ready,LED,30W Front Boom Speakers | 1000+ Smart...,8304,929,4.0,5890,22990,Android,2024,74.38
17,Uniboom,Uniboom ULTIMA,24,HD Ready,LED,30W Sounbar Edition - A...,1282,157,4.1,5890,22990,Android,2025,74.38
18,XIAOMI,XIAOMI by Mi A Series,32,HD Ready,LED,200+ Free Channels |Dolby Audi...,95910,6457,4.3,11999,24999,Google,2024,52.0
20,Hisense,Hisense E6N,55,Ultra HD (4K),LED,"Atmos, Dts Virtual X",9842,1303,4.3,31999,59999,Google,2024,46.67
21,TOSHIBA,TOSHIBA,43,Full HD,LED,DTS X,5721,807,4.2,19999,34990,Android,2023,42.84
22,Thomson,Thomson,24,HD Ready,LED,20W Sound Output | 2 Speakers | Wide View An...,31051,3642,4.1,5499,10499,Not Specified,2025,47.62
23,Acer,Acer V Pro Series,43,Ultra HD (4K),LED,Not Specified,1924,203,4.0,22999,51999,Google,2025,55.77
25,Acer,Unknown,32,HD Ready,LED,Android 14 (Black) | 16GB Stora...,9667,932,3.9,9999,22999,Google,2024,56.52
26,LG,LG LR570,32,HD Ready,LED,"Alpha5, 100...",70564,5698,4.4,13489,21240,webOS,2025,36.49
27,Thomson,Thomson Alpha QLED,32,HD Ready,LED,36W Sound Output | W...,2290,370,4.2,8299,14999,Linux,2025,44.67
28,realme,realme TechLife,55,Ultra HD (4K),LED,5.0 with Dolby A...,2227,261,4.1,28999,70999,Google,2025,59.16
